name,description,link
55_2030ART,History to Present is Our Future of Art,https://devpost.com/software/roboart
58_The_Misfit,"Show your colors, they are beautiful.",https://devpost.com/software/ganart
143 - Bahbhan,"It all started 35 years ago when GMC produced a Sierra into the world, the Saudi society called them Bahbhani, it got infused into our culture. That is what we are representing, shards from the past.",https://devpost.com/software/the-klega
130_Al-Rahalh,the illustration of Ibn Batu,https://devpost.com/software/globalart
75_Feel The Change,An artwork that changes based on your emotions.,https://devpost.com/software/feel-the-change
43_The Beauty of Belonging,"Inspired from traditional Saudi architecture, we represent the beauty and diversity of the Saudi heritage.",https://devpost.com/software/the-beauty-of-belonging
61_BR,"Block revealer, to create new arts (my technique-old art school-faces pure and demons-motion infinite loops), deal with the system using audio , and using VR to live it",https://devpost.com/software/block-reveler
100_Arteye,Abstract paint work - generated from AI and gaze tracking,https://devpost.com/software/oasis-dav5b2
Artificial Art,Create animated art pieces with machine learning using a DCGAN,https://devpost.com/software/artificial-art-xk07fc
69_AI Unlimited,Make a program that simply using Ai to users on twitter,https://devpost.com/software/ai-unlimited
01_ Number one!,"In this art piece, we want to celebrate the journey of renowned artists, bringing their story to life, and reflect the changes they went through using their own faces and styles.",https://devpost.com/software/01_-number-one
78_110,Exploring emotions in one’s insight,https://devpost.com/software/78_110
Artech,Applying Science approaches into Art,https://devpost.com/software/artech
Emergent Topographies,Merging human and machine intelligence to create the future landscape of Saudi Arabia,https://devpost.com/software/new-topographies
Heya: Esoteric & Energetic,"Heya in English means ""She's"". Heya the passionate, hardworking, daughter, sister, wife, and/or mom. The artwork is inspired by the concealed & unknown/unrevealed energy and power of Heya.",https://devpost.com/software/50_startthinking
59_Artology,Abdulhalim Radwi was one of the first Saudi Artist who made the first gallery and the first one who get a external scholarship and to honor his memory we want to revive his Art,https://devpost.com/software/59_artology
31_ FontArt,Combination between arabic calligraphy style and ready image,https://devpost.com/software/31-fontart
21_Humainzied Fractal images using GANs,Fractals are encountered ubiquitously in nature. Using GANs to add human touch to the artificial fractal output,https://devpost.com/software/21_fractal_art
03_SaduSpirit,"We had several ideas stemming from our identity: First, the ""Sadu"" is considered one of the most important inscriptions used in Arab tents, and here we combined it with faces made by the AI",https://devpost.com/software/03_aiartathon
38_colors_of_Saudis,Represent the culture using AI,https://devpost.com/software/38_colors_of_saudis
10_Misidentified,A conceptual commentary on the cultural basis of datasets.,https://devpost.com/software/misidentified
15_Aligatou AI,Generate Graffiti abstract using GAN,https://devpost.com/software/aligatou-ai
49_Saudi Evolution,This project will reflect the different evolution and transformation stages that Saudi Arabia has gone through since it has first established and united,https://devpost.com/software/evolution-spectrum
73_Art Intelligence,An additional Robo Arm for a Busy Artist / ArtLover,https://devpost.com/software/73_art-intelligence
109_ Steal Like an Artist,Combining two concepts that contain specific aspects of specific cultures,https://devpost.com/software/109_raghdahrazan
32_Holie,Use DCGAN to generate new jewelery style,https://devpost.com/software/32_generative
45_Neqat,Create an artwork using Neural Style Transfer AI algorithms,https://devpost.com/software/neqat
22_THE POINT OF NO RETURN,The global and geometrical nature of black holes also raises interesting questions about the sense in which one may or should think of them as physical objects or systems.,https://devpost.com/software/22_bh
07_DearDiary,Pieces from Our Journey Through Adulthood.,https://devpost.com/software/07_deardiary
51_The Forgotten,teh art work embodies the faded relationship between the ride and the rider. A relationship that has been replaced with machines.,https://devpost.com/software/mba
110_Poem_AI,Rendering the poet feelings from his poem words into a painting strokes,https://devpost.com/software/110_na
44_InnerArt,Reflecting the inner feeling of the people who suffer from the Body Dysmorphic Disorder in a piece of art.,https://devpost.com/software/44_awesomeness-d09jkl
39_ E/motion,AI Art and in particular Generative art often refers to algorithmic art (algorithmically determined computer generated artwork),https://devpost.com/software/39_-e-motion
81_Naturigraphy,Naturigraphy,https://devpost.com/software/abc-cur3lz
116_LIMEEBERRY,animated style transition,https://devpost.com/software/116_limeeberry
106_Hearts,"Our project produces a piece of art depending on the human emotions. I is an interactive art, a chosen artwork will be presented to the user and upon the reaction the artwork model will be changed.",https://devpost.com/software/106_hearts
107_Dream Catcher,AI as an artist that translates your dreams,https://devpost.com/software/table-107
113_Artistic,"ai project, art",https://devpost.com/software/ai-project-tq28fy
92_Manipupaint,adding textures to acrylic paintings,https://devpost.com/software/92_manipupaint
99_Linking Eras,linking the cultural art with the current,https://devpost.com/software/linking-eras
115_Composing artwork using Ai text or face emotion analysis,Composing Islamic art from raw data,https://devpost.com/software/composing-artwork-using-ai-text-or-face-emotion-analysis
122_sound of the letters,122_ combining vocals with letters,https://devpost.com/software/122_beyondletters
05_Fall in Feeling,Measuring how emotions affect nature,https://devpost.com/software/fall-in-feeling
98_aureed,Expressing People`s Needs.,https://devpost.com/software/98_aureed
29_ Cool artists,"Original drawing by a machine, which is was generated using a complicated set of codes and commands that was applied to special collection of original watercolors drawings",https://devpost.com/software/29-cool-artests
91_ Magical illusion,people needs things to get inspired through their hard days and our idea is to give them this feeling while looking through our art,https://devpost.com/software/91_
57_BYK,Hybrid Architecture,https://devpost.com/software/57_byk
