name,description,link
Les Misérables,"Please don't make us present our ""project""!",https://devpost.com/software/m-ai-0wgtar
dAIgnositc,"dAIgonstic leverages AI to rapidly and accurately diagnose rare diseases, enhancing care while reducing costs and stress for families.",https://devpost.com/software/daignositc
Hyper personalised chatbot Mercedes,"Discover the perfect Mercedes-Benz electric vehicle with our chatbot! Tailored to your lifestyle and preferences, our bot recommends the ideal EV.",https://devpost.com/software/hyper-personalised-chatbot-mercedes
Team Hobo: Predictive Maintenance Through RL Employment,Making wind power consistently awesome. Intelligent predictive maintenance for wind power plants.,https://devpost.com/software/team-hobo
OPEN HAMMER: Precision-Driven Dream Car Matchmaker,"Supercharging car sales with ‘Quantum Drive,’ the next evolution of AI, where Einstein meets Oppenheimer in the quest to deliver your dream Mercedes. p.s. we are against the use of the atomic bomb",https://devpost.com/software/niels-bohr
TerraWatch,Your one-stop solution to detecting deforestation and its local impact.,https://devpost.com/software/deforestation-detector
This is fine,"Why just look at trees, when there is so much more?",https://devpost.com/software/this-is-fine-asj8y6
dAI-MLer,"Buying an electric car can be a complex decision. Our chatbot offers personalized assistance with initial selection, guiding customers through the process almost like a real sales representative.",https://devpost.com/software/the-sales-man
SaveTheChildren,Helping sick Children get better,https://devpost.com/software/savethechildren
CarShip,Every 3 minutes an electric Mercedes finds a new owner on CarShip.,https://devpost.com/software/ai-fuel
VerdeVigil,"To save the Forest,To save the World",https://devpost.com/software/verdevigil
DefoRisk,AI Based project to detect deforestation,https://devpost.com/software/we-re-gonna-win-it
Wood Watcher,"Wood Watcher is a satellite monitoring platform that enhances reforestation efforts with direct communication between certifiers and field personnel, improving reliability in the carbon credit market.",https://devpost.com/software/deforestation-borkies
ForestVision,We are leveraging machine learning to detect deforestation helping NGOs to verify real world forest changes.,https://devpost.com/software/geoanalytica
1,1,https://devpost.com/software/1-j5gqis
DriveMate,"We believe that purchasing a car should be an experience tailored to your unique needs and preferences. That's why we're thrilled to introduce DriveMate, your personalized guide to the perfect ride.",https://devpost.com/software/salesforce_ai
ForestFriend,ForestFriend helps the people,https://devpost.com/software/workingtitle-2ahlng
MotoMate,An AI chatbot that helps users choose the ideal Mercedes Benz model by crafting personalized profiles to match their preferences.,https://devpost.com/software/motomate
sellArI,Perfect sales bot for individual customers.,https://devpost.com/software/chatbot-thwyc0
fit_predict(),Optimization of wind turbins,https://devpost.com/software/fullfeder
EshopCopilot - Salesforce x Mercedes-Benz,Multi-Agent Copilot that guide the buyer smoothly through buying process.,https://devpost.com/software/eshopcopilot
Deforestation Area Prediction,We use a video prediction model with convolutional LSTMs to predict the deforestation in local areas(amazonas),https://devpost.com/software/deforestation-area-prediction
Tree-mendous Troublemakers,Tree-mendous Troublemakers thats all it needs,https://devpost.com/software/tree-mendous-troublemakers
TerraTrace,Finding best places for reforestation,https://devpost.com/software/best-project-ever-x195uo
ML 4 AMIGO,Detecting orphan diseases with our last braincells,https://devpost.com/software/project-amigo
Tailored.Torque,An self-learning bot that finds the perfect car that fits your personality,https://devpost.com/software/mercedes-salesforces
Guided recommender,How to sell electric vehicles online (fast),https://devpost.com/software/guided-recommender
Carista,Get hyper-personalized guidance about your next car purchase,https://devpost.com/software/mercadvisor
JingleTheTrees,Team JingleTheTrees makes deforestation freeze.,https://devpost.com/software/jinglethetrees
