name,description,link
Merado - Buy & Sell Real world products cross-chain,"Merado is a web3 marketplace that leverage CCIP and price feeds provided by chainlink. our solution enable users to buy and sell real products, cross-chain.",https://devpost.com/software/buy-sell-nfts-cross-chain
Trident,"Trident unites the best of web2 and web3 to protect digital creation with a system that ensures the authenticity and integrity of records, guaranteeing long-term revenue to developers.",https://devpost.com/software/trident-d2lakz
Mosaic,"Mosaic transforms the art market by leveraging blockchain, Chainlink technologies and AI to securely tokenize and fractionalize physical artworks.",https://devpost.com/software/mosaic-zy3lu2
Raffl,"Raffl is a permissionless web3 platform that allows users to create and participate in raffles with complete transparency, security, and fairness, powered by Chainlink Automations and VRF.",https://devpost.com/software/multilink
DonateUNLai,donate/public welfare/fairness,https://devpost.com/software/donateunlai
RosettaSwap - A RWA Marketplace by NIOV Labs,"Our marketplace enables pricing in fiat values while allowing payments in on-chain assets, bringing real-world assets to the blockchain for seamless transactions in real-world amounts.",https://devpost.com/software/federation-cloud-asset-bound-tokens-abts
Meme Generator,"Create your own Token,Fast and Easy",https://devpost.com/software/meme-generator-lp0njd
Ether-Estate,Developing a Realstate web3 project,https://devpost.com/software/ether-estate
Chain.ed,"Don't waste money on unfinished courses! Chain.ed earns on staked course fees while students get crypto refunds & NFT certificates. Motivates completion, boosts engagement! We win when you learn.",https://devpost.com/software/chain-ed
Saverville,decentralized savings game using ETH that simulates farming activities using a financial model akin to certificates of deposit (CDs),https://devpost.com/software/savings-games
Propytech,on-chain leisure and rent of real estate,https://devpost.com/software/propytech
Subscryption,A way for businesses to take payments from customers on the blockchain,https://devpost.com/software/subscryption
Chronomancer,"Fast, Chainlink CCIP-backed transfers bypassing time-to-finality using a smart contract endpoint and order-filling bot",https://devpost.com/software/ccip-fast-bridge
ThreePiece,"A Web3 game of endless mysteries. Collect lands🏝️, resources 🪵, and items ⛏️. Claim lootboxes 🎁 and raid lands 🗡️ Beware of random events ... 🌧️",https://devpost.com/software/project-serioso
Tombola,What we develop is a Lottery game. The idea is to guess a number between 1 and some number that you define. The winner or winners keep the prize. The round of the game is daily.,https://devpost.com/software/tombola
Synthetic Crude Oil Token,Tokenized Crude Oil project provides broader access to trading and investment opportunities,https://devpost.com/software/synthetic-crude-oil-token
