name,description,link
Snowflake Arctic Powered Data Migration Assistant App,"Migrating from Legacy DB to Snowflake is time-consuming and challenging, especially with SQL translation, complexity analysis, and object dependency. This LLM app reduces manual effort to near zero.",https://devpost.com/software/snowflake-arctic-powered-data-migration-assistant-app
Task Time Tracker with AI,"Task Time Tracker with AI helps you to track your task time, visualize your activity data, and give encouraging feedback.",https://devpost.com/software/task-time-tracker-with-ai
URL parser,Ask query on the URL,https://devpost.com/software/url-parser
FDA Bot - FDA Enforcement Actions Knowledge Retrieval,"the FDA publishes a ton of material information every day , but dont you know someone under FDA audit? how about your new colleague? find out about FDA enforcement actions in defence of public health!",https://devpost.com/software/team-tonic-8murv1
Wealth X: A Wealth Insights Generator for Financial Advisors,"WealthX acts as a Financial Advisor Copilot to assist advisors by generating insights from existing client information (financial information, client statements, financial reports, etc.)",https://devpost.com/software/wealth-x-a-wealth-insights-generator-for-financial-advisors
The Bad Programmer,"Boost your debugging skills with Bad Programmer! Our app generates buggy code for you to find and fix, turning debugging into a fun challenge. Perfect your coding with each unique task!",https://devpost.com/software/temp-g1uejm
World Travel App,travel around the world in Arctic,https://devpost.com/software/snowflake_ai
CodeViz,"CodeViz simplifies code understanding using AI-powered visualizations, enabling developers and non-developers to navigate complex codebases effortlessly.",https://devpost.com/software/codeviz
Arctic Analytics,"Arctic Analytics can answer questions about your data, build charts and graphs from your data, and help document and debug your codebase. Arctic Analytics does not get access to your dataset.",https://devpost.com/software/arctic-analytics
Snow Instructor,Master Snowflake by playfully answering questions and collecting points.,https://devpost.com/software/snow-instructor
SynDator: Synthetic Data Generator,SynDator: Synthetic Data Generator has the capability to generate data without samples. It can generate data by replicating table schema or even work without table schema information.,https://devpost.com/software/we-will-update-this-after-discussion
ArcticMeet,"ArcticMeet is an AI meeting assistant powered by Snowflake Cortex. ArcticMeet offers summarization, agenda extraction, participant identification, sentiment analysis, and translation.",https://devpost.com/software/arcticmeet
RAIN Guidance,Leading you through the steps of Tara Brachs RAIN practice for emotional intelligence.,https://devpost.com/software/rain-guidance
Kids Homework Helper,"Our innovative app helps children with homework without giving answers. It's multilingual, dyslexic-friendly, and works on mobile with a camera!",https://devpost.com/software/homework-assistant
CompAI,"Meet CompAI the Tailwind CSS Component Generator Bot by Snowflake Arctic AI! Easily create and customize beautiful, responsive UI components.",https://devpost.com/software/compai
Arctic Vault,"The project helps users to create an optmized Data Vault 2.0. It leverages the power of Snowflake Arctic model to extract information from table, chat with the user and create all SQL queries required",https://devpost.com/software/arctic-vault
Business Performance Report Generation App,The efficient way for business performance report writing (with Streamlit and Snowflake Arctic),https://devpost.com/software/streamlit-app-with-snowflake-arctic
SAKArctic Travel Agency,This application is a travel plan generator. It listens to the user's requests in a chat format and creates a travel plan based on the content of the interview.,https://devpost.com/software/sakarctic-travel-agency
AdImpact Databot,"Safely query a database schema using natural language. LLM-generated SQL statements are parsed, corrected, and checked for safety and security before being run and explained to the user.",https://devpost.com/software/adimpact-databot
Feedback Guard,Feedback Guard: Harnessing Snowflake Arctic for Customer Insights,https://devpost.com/software/feedback-guard-sentiment-fraud-detection
Hooser,Automatically generate detailed user stories as per your custom templates and push them as issues to JIRA.,https://devpost.com/software/hooser
MedArc AI,AI medical assistant,https://devpost.com/software/medarc-ai
DEM AI,-,https://devpost.com/software/dem-ai
Main Character Energy,Main Character Energy is a one-of-a-kind STORY BOOK GENERATOR that harnesses the power of the imagination and GenAI to create truly unique and personalized stories with ILLUSTRATIONS.,https://devpost.com/software/main-character-energy-7sew4o
Puffin: AI Coding Assistant,"Refactor, write, review code, and gain data insights effortlessly with Puffin, powered by the Snowflake Arctic language model. Boost efficiency and quality in your workflow.",https://devpost.com/software/puffin-ai-coding-assistant
dbt Semantic Layer and LLMs,"Text-to-sql is a hard challenge to solve. However, when you can use the dbt Semantic Layer to write that SQL, the odds of getting accurate results increase significantly.",https://devpost.com/software/dbt-semantic-layer-and-llms
Data Potion powered by Arctic,Leverage your data the right way to make business decisions,https://devpost.com/software/data-catalog-powered-by-arctic
The Climate Change Observatory,Climate change might be the most important challenge for us and future generations. This project aims to increase awareness about this challenge so we can accelerate research to mitigate it.,https://devpost.com/software/the-climate-change-observatory
Streamcare,Personalised care with AI Assistance from Snowflake Arctice Instruct,https://devpost.com/software/streamcare
SnowGuide,Your Companion in the Snowflake Ecosystem.,https://devpost.com/software/snowguide
Wanderlust Ventures,- Journey Beyond Boundaries!,https://devpost.com/software/wanderlust-ventures
better-cover-letter-generator,"Generate Cover Letter - that actually works with Snowflake Technologies. Provide substantial information, job type specific comprehensive information.",https://devpost.com/software/bleh-0ef562
Arctic Query Quest,"Learn SQL and get familiar with data models in a fun and interactive way! 🏔️ Arctic Query Quest makes learning SQL engaging to revolutionize SQL education in companies, schools and universities.",https://devpost.com/software/arctic-query-quest
"What is the ""Snowflake Native"" Google Analytics 4 ?",A Google Analytics 4 dashboard built exclusively using Snowflake Native Apps. Chat with Arctic about your website or mobile app.,https://devpost.com/software/ga4-enricher
