name,description,link
Generic Finance (Generifi),A decentralized finance platform to maximize returns.,https://devpost.com/software/generic-finance-geenrifi
COiTON Real Estate Trading Platform,"Trade Real Estate Anywhere, Anytime: Unlocking Property Potential with Blockchain",https://devpost.com/software/coiton-real-estate-trading-platform-f9mr5k
Digideed,Real estate. Fractional. Accessible,https://devpost.com/software/digideed
Embracing Fate: Inside the LUCKYPICK Lottery Experience,"LUCKYPICK lottery, where Web3 technology ensures fairness and transparency in every draw. Powered by blockchain algorithms.",https://devpost.com/software/embracing-fate-inside-the-luckypick-lottery-experience
LIVEWIRE,#DAO,https://devpost.com/software/this-project-is-about
cre8ify,"cre8ify is a revolutionary platform built by creators, for creators. We understand your struggles and are committed to providing a solution.",https://devpost.com/software/cre8ify
RelicSwap,Seamless Crypto Management Across All Platforms.,https://devpost.com/software/relicswap-ohly6f
Merch PA.,"Revolutionizing Retail: Innovate, Analyze, Excel with The Merch P.A Solution!",https://devpost.com/software/merch-pa
PropertyBlocks,Property Blocks is a fractionalized real estate project where users can explore and interact with various registered real estate. They can rent and buy fractions of these estates.,https://devpost.com/software/musuem-3
Studentchain,StudentChain is a blockchain-powered EdTech platform that serves as a one-stop solution for students seeking financial support for their educational pursuits,https://devpost.com/software/studentchain
Thriftchain,ThriftChain is a groundbreaking financial management platform that leverages blockchain technology to redefine personal and collective savings,https://devpost.com/software/thriftchain-i6qaec
Lisk signature,Avoiding the key dangers associated with AI-generated video with just 4 lines of codes,https://devpost.com/software/lisk-signature
GAMEFI,Is an integration of Blockchain with a gaming system using Ethereum.,https://devpost.com/software/gamefi-n10rah
EcoSupply,Revolutionizing Supply Chains With Blockchain: Enabling Transparency and Trust,https://devpost.com/software/ecosupply-8bqgxo
Chronoclash,Unleash Strategy and Power in Real-Time Blockchain Battles,https://devpost.com/software/chronoclash
ArtChain,Decentralized Art marketplace,https://devpost.com/software/artchain-wd52a4
Seamless Blockchain experience with Smart Wallet On Lisk,"Chicken Merge Game uses account abstraction and smart wallet to make engagement with in-game economies, perform transactions, all blockchain benefits without traditional interactions complexities.",https://devpost.com/software/seamless-blockchain-experience-with-smart-wallet-on-lisk
Renew Mart,Renew Mart: Breathing new life into pre-loved goods,https://devpost.com/software/renew-mart
COINCREDD,A Peer to Peer DeFi supporting stablecoins and lisk token as collateral,https://devpost.com/software/coincredd
Piglet,"Piglet is a decentralized piggy bank app on the Lisk Sepolia blockchain. It enables secure, transparent fund management with features like deposits, withdrawals, transfers, and nominee assignments.",https://devpost.com/software/piglet-n2lwme
