name,description,link
SuperCoolProject,Super cool project that will win for sure.,https://devpost.com/software/supercoolproject
Vision-Quest-Challenge,Simplest but longest in runtime approach to classify images,https://devpost.com/software/vision-quest-challenge
Correlation of Urinalysis and Positive Diabetes Diagnosis,"We used Python and the Pandas library to analyze urinalysis data, searching for patterns and correlations that could potentially be associated with diabetes diagnoses.",https://devpost.com/software/correlation-of-urinalysis-and-positive-diabities-diagnosis
Timed Challenge 4 VR Headset Sumbmission,Demographic Analysis of VR Usage,https://devpost.com/software/timed-challenge-4-vr-headset-sumbmission
Urinalysis Test Results dataset,Urine analysis,https://devpost.com/software/smsquaren
No Drama Llama Traffic Jam-a,"The ""No Drama Llama Traffic Jam-a"" challenge presents an intriguing opportunity to tackle a pervasive urban issue using data science and AI.",https://devpost.com/software/no-drama-llama-traffic-jam-a
Challenge 6 - Viz-a-Verse: A Tyler Sheridan Story,"Unlocking Tyler Sheridan's Cinematic Universe: Dive into the Oasis of Roles, with Ready Player One as Your Portal",https://devpost.com/software/tye-sheridan-filmography
Urinalysis-EDA,"Our project uses EDA and machine learning to enhance urinalysis, identifying key diagnostic markers to aid swift, accurate medical decisions and improve patient outcomes.",https://devpost.com/software/projectblack
Mayday Maestros,Our project aims to revolutionize disaster response planning by leveraging the power of data analytics and machine learning.,https://devpost.com/software/mayday-maestros
VeracityVerify,"""TruthScanner: Fact-Checking at Your Fingertips""",https://devpost.com/software/veracityverify
Vision Quest Challenge,Image Classification in a better way,https://devpost.com/software/vision-quest-challenge-stxam3
VR Headset,About VR,https://devpost.com/software/vr-headset
Urinalysis Test Results dataset_PowerNappers,"""Unlocking Insights: Exploring Urinalysis Test Results for Diagnosis and Beyond""",https://devpost.com/software/urinalysis-test-results-dataset_powernappers
VR_Headsets_Powernappers_Timed Challenge,"Exploring VR usage across demographics to pinpoint motion sickness trends, headset efficacy, and user behavior patterns using Python's robust data analysis tools.",https://devpost.com/software/vr_headsets_powernappers_timed-challenge
LGSQ,Work for the 2024 UTA Datathon,https://devpost.com/software/maydaymaestrotylercristianmartintyler
Timed Task 4,Demographic Analysis of VR Usage,https://devpost.com/software/timed-task-4
Timed Task 5,"This project analyzes a urinalysis dataset to identify diagnostic predictors using machine learning, enhancing diagnostic accuracy and providing crucial insights for healthcare decisions.",https://devpost.com/software/timed-task-5
VR Data Visualization,Unleash the Power of Data with Taipy,https://devpost.com/software/vr-data-visualization
VR Headset,Take a Deep Dive into the world of VR Headsets through Tableau Interactive Story.,https://devpost.com/software/vr-headset-dx0ave
IDIR Lab Machine Learning Challenge,Text Check-worthiness Classification,https://devpost.com/software/idir-lab-machine-learning-challenges
Viz-a-Verse: A Tyler Sheridan Story_PowerNappers,A look into the Career of Tye Sheridan,https://devpost.com/software/viz-a-verse-a-tyler-sheridan-story
VR Headset Viz,A small visualization on how the VR Headsets create an impact on users.,https://devpost.com/software/vr-headset-viz
Urinalysis Diagnostic Insights via Data Analysis,"AI-driven urinalysis predicts health outcomes with high accuracy, enhancing diagnostics using XGBoost and CatBoost for precision medicine.",https://devpost.com/software/urinalysis-diagnostic-insights-via-data-analysis
Timed challenge - 5,Sailing through the ocean of data,https://devpost.com/software/timed-challenge-5
ML Model for Sentence Factual Worthiness,An ML Model to determine the factual worthiness of an input sentence.,https://devpost.com/software/ml-model-for-sentence-factual-correctness
Road Accident Analysis,Analysis of Road Accidents: An Immersive Data Exploration,https://devpost.com/software/viz-a-verse-a-tyler-sheridan-story-pucsf5
Vision Quest Challenge & Data Viz,Image Classification,https://devpost.com/software/vision-quest-challenge-91bgoi
Innovative Data Intelligence Research Lab ML,Fact Check!,https://devpost.com/software/innovative-data-intelligence-research-lab-ml
idir-model-challenge,Use neural network to make precise calculation.,https://devpost.com/software/idir-model-challenge
Image classification using few-shot learning.,"Introducing a revolutionary image classifier leveraging Swin Transformer, adept at both traditional and few-shot learning across 256 diverse categories.",https://devpost.com/software/image-classification-using-few-shot-learning
CodeLlamas1,Data analysis powered by LLM generated insights,https://devpost.com/software/codellamas
Innovative Data Intelligence Research Lab Data Visualization,Innovative Data Intelligence Research Lab Data Visualization,https://devpost.com/software/innovative-data-intelligence-research-lab-data-visualization
Mayday Maestros,Disaster Analysis Model,https://devpost.com/software/mayday-maestros-7vlu9e
Check-Worthiness Basic Bert,"This Bad ""Bert"" can still catch up with this generation.",https://devpost.com/software/check-worthiness-basic-bert
The Garden Expert,Protect your plants. Preserve your food. Prosper with greens.,https://devpost.com/software/the-garden-expert
Vision Quest Challenge,Image Classification,https://devpost.com/software/vision-quest-challenge-723wmx
VisionBytes,Leveraging Image Classification Project for Transfer Learning,https://devpost.com/software/visionbytes
The Turbulent World,"Here, we have added No. disasters per country, Casualties over years to get an overview",https://devpost.com/software/the-turbulent-world
Model_1,"a machine learning model that, given an input sentence, determines whether it is a factual statement that is worth fact-checking,",https://devpost.com/software/model_1
IDIR and Vision Challenge,News and Image Classifiers,https://devpost.com/software/idir-and-vision-challenge
Mayday Maestros Datathon-2024,"""Using data-driven insights, we predict disaster impacts, optimize resources, identify shelters, and plan evacuations to safeguard lives and communities.""",https://devpost.com/software/mayday-maestros-datathon-2024
Urinalysis Test Results Dataset,"Identified important features, answered class imbalance problem, performed EDA",https://devpost.com/software/urinalysis-test-results-dataset
Mayday Maestros,"Our innovative disaster predication solution is designed to empower governments, emergency responders, and communities with the tools they need to navigate and overcome disasters.",https://devpost.com/software/diseaster-managemnet
