name,description,link
Voice2Code,voice commands based coding to reduce manual works and for supporting multitasking,https://devpost.com/software/voice2code
Road Accidents Severity Prediction - Cipher Hunters SEC37,"""Safer Roads Ahead: Predicting Accident Severity""",https://devpost.com/software/road-accidents-severity-prediction
Video-surveillance-and-tracking-system,the places visited by a specific person can be identified by recognising their facial feature using cctv camera,https://devpost.com/software/video-surveillance-and-tracking-system
South Korea's birth rate crisis,Severe problem of decreasing birth rate,https://devpost.com/software/south-korea-s-birth-rate-crisis
Revolutionizing Clothing Care,"Elevate Your Wardrobe, Elevate Your Community.",https://devpost.com/software/revolutionizing-clothing-care
Tweet analysis for recruiters and applicants,Allows recruiters and applicants to analyse twitter accounts to see how offensive someone has been,https://devpost.com/software/stack-easyflow
Melissa - TEST,TEST - Pitch,https://devpost.com/software/melissa-test
Tweet Sentiment Recogniser,Sentiment Analysis with NLP - Use of SVM Classifier,https://devpost.com/software/tweet-sentiment-recogniser
EcoStubbleAI,Optimizing Stubble Disposal for Cleaner Air and Sustainable Energy,https://devpost.com/software/ecostubbleai
SEC17-Real time Patient Monitoring system,Revolutionising the health system for a better tommorow.,https://devpost.com/software/real-time-patient-monitoring-system
Urban Mobility Optimization,Where Data Drives Urban Mobility,https://devpost.com/software/urban-mobility-optimization
InnovativeData,I want to predict customer churn for my subscription-based business. Predicting churn in subscription businesses is crucial. Data science helps retain customers effectively.,https://devpost.com/software/innovativedata
QUILL - Quick Universal Instant Language Link,"This innovative tool takes the complexity out of language barriers. It uses advanced AI to seamlessly translate speech/text in real-time, making communication across languages effortless.",https://devpost.com/software/quill-quick-universal-instant-language-link
Food distribution service,"""One cannot think well, love well, sleep well, if one has not dined well.""",https://devpost.com/software/food-distribution-service
Disease Prediction,"Being healthy and fit isn't a trend, it's a lifestyle. Our project helps the users to rectify symptoms at an early stage as the saying goes ""prevention is better than cure"".",https://devpost.com/software/disease-prediction-b40k7z
PeacePal - ON127,Cutting-edge mental health chatbot revolutionizing emotional well-being with technology and empathy.,https://devpost.com/software/peacepal
Thrive tales,To make mental health students into stable peaceful persons,https://devpost.com/software/thrive-tales
Memoria,Psychiatrists face difficulty in diagnosing disorders where the symptoms of a specific disease may vary from person to person. So this app will track people action,https://devpost.com/software/ibm-stardust-crusaders
The Smart Agriculture Platform,"Revolutionizing agriculture with blockchain & AI. Connect farmers, consumers, & ensure fresh, quality produce. Join us for a sustainable future!",https://devpost.com/software/the-smart-agriculture-platform
iMigraInsight: Transforming Immigration Data Intelligence,"Revolutionizing immigration data collection for enhanced security, human rights, and policy insights. Join us in shaping a more efficient and compassionate approach to immigration management.",https://devpost.com/software/imigrainsight-transforming-immigration-data-intelligence
Real Time Medical Allergy/Side Effects verification system,A system that can check for allergy risks and Serious side effects in prescribed medications and suggest alternatives and alert the Health practitioner too! Try it out,https://devpost.com/software/real-time-medical-allergy-side-effects-verification-system
Fraud Detection in Transactions Uncalled Coders Team-SRM15,Unmasking Deception: Protecting Your Transactions,https://devpost.com/software/fraud-detection-in-transactions-team-srm15
StellarQuest [Holy Coders Team-390],"Explore the cosmos like never before - classify stars, galaxies, blackholes and quasars with StellarQuest.",https://devpost.com/software/stellarquest
Automated Library Management System by TechMates (Team 95),Our team focused on the automation process of book issuing system in any public/private library and made it self-reliant reducing third person intervention.,https://devpost.com/software/automated-library-management-system
PERSONALITY PREDICTION MODEL ALONG WITH ITS APPLICATION,Personality Matters a Lot!,https://devpost.com/software/personality-prediction-model
Urban Cleaning,Revolutionizing Urban Cleanliness: A Data-Driven Solution for Efficient Garbage Collection,https://devpost.com/software/urban-cleaning
Spam Mail Detector - [Concentrated Checkmate - IM 44],Using NLP this model has been trained to detect whether an email is spam or not. Multiple methods were tested when training the model to identify the most reliable method.,https://devpost.com/software/spam-mail-detector
ParQuik,"ParQuik provides a smart parking solution that streamlines the entire process, making parking more convenient and hassle-free for everyone involved. ""NAB A SPOT""",https://devpost.com/software/parquik
Enviro-Predict Health Guard+ (Team-ON02),IOT and Data science based solution for cardio-respiratory patients,https://devpost.com/software/enviro-predict-health-guard-for-cardio-respiratory-patients
SMART PARKING SYSTEM,"Smart Parking System that harnesses the power of technology, offering real-time data to drivers about available parking spaces and guiding them efficiently.",https://devpost.com/software/smart-parking-system-xz97tp
Medical diagnosis prediction,its ai based models to make medical diagnosis,https://devpost.com/software/medical-diagnosis-prediction
ML Model for object detection and narration for blind people,Physically challenged people faces a lot of challenges in their daily life. Specially people who are blind have difficulties to go out alone in the road or to drive and they are restricted to things.,https://devpost.com/software/ml-model-for-object-detection-and-narration-for-blind-people
MedScape [The Humbugs - ON17],Master the art of medical image alignment.,https://devpost.com/software/medspace-rs6hio
Intelligent Traffic System,A Smarter Approach to Traffic Management,https://devpost.com/software/intelligent-traffic-system
CODERS ---PORTFOLIO WEBSITE,"""Showcasing Your Success: Your Portfolio, Your Story""",https://devpost.com/software/portfolio-website-f2cr6s
Travel price Prediction,Navigating the Future of Pricing,https://devpost.com/software/travel-price-prediction
Aphasia Mistake Detection with MFCCs and SPHINX - Team 99,Properly translate what Aphasia patients say to text and identify where they likely make mistakes in their language.,https://devpost.com/software/aphasia-translation-mistake-detection-with-mfccs-and-sphinx
