name,description,link
Truly smart npcs,"Do you want to make game releases dynamic, push updates before and release them later.",https://devpost.com/software/ai-npc-model
Climbing Route setter,"Generating climbing route for route setters, and rating system to help train generation AI",https://devpost.com/software/climbing-route-setter
Concisify,"It's uh, well it's pretty hard to talk sometimes. Make your videos sound better with Concisify!",https://devpost.com/software/concisify-sntr7w
AutoAgent,"Create AI agents on the fly by uploading API documentation. Automate workflows instantly with generative AI and dynamic feature flags, enabling rapid, real-time adjustments and improvements.",https://devpost.com/software/ai-agent-generator
GradeGuardian,GradeGuardian helps both students and course staff. Not only would it alleviate pressure on office hour queues and TA usage but also serves as a 24/7 available resource for students to use.,https://devpost.com/software/tbd-d82hvj
Cafe order bot,"Our app makes it easy to order in a cafe by chatting with a bot. It's fast, secure, and built with cutting-edge tech - AWSBedrock & LaunchDarkly.",https://devpost.com/software/ai-phone-orders-squarepieguys-faster-safer-smarter
Good To Know—AI Assistant for Understanding Legal Documents,"Good To Know! is an AI-powered tool designed to simplify and explain legal documents. It highlights potential issues and risks, then provides actionable insights to help you make informed decisions.",https://devpost.com/software/good-to-know
RealHoroscope,"RealHoroscope uses cutting-edge Gen-AI to deliver personalized fortunes based on with the power of real predictions. Download RealHoroscope and unlock the reality of your future, today!",https://devpost.com/software/realhoroscope
Prompt Optimizer using Evolutionary Algorithms + AI agents,"Boost AI prompt creation with our tool that uses evolutionary algorithms and real-time feedback to help developers craft optimized, effective prompts swiftly.",https://devpost.com/software/prompt-optimizer-using-evolutionary-algorithms-ai-agents
PersonaAI,"PersonaAI, a conversational AI avatar transforming customer support, education, etc. by creating a natural connection between people and machines, simplifying interaction and enhancing understanding.",https://devpost.com/software/personaai
JobWiz,Job search is like dating and personal matchmaking. JobWiz will automate that matchmaking process and become your job agent.,https://devpost.com/software/jobwiz
Guardian Agent,"Guardian Agent is your all-purpose plug-in that delivers insights from viewed websites to your workspace, enhancing learning, emails, research, image generation, and more for optimized productivity.",https://devpost.com/software/guardian-agent-sluxp6
Prompt Darkly,"Prompt Darkly exposes a simple interface for iteratively refining your production prompts. Track prompt variants, their performance, and make changes live using Launch Darkly.",https://devpost.com/software/prompt-darkly
That's a Rap!,Have you ever wondered what's lyrically going through J. Cole's head as he rides into the sunset post-beef? Or what Slim Shady thinks of present Eminem? Find out now and generate verses with this app!,https://devpost.com/software/that-s-a-rap
Amazon Shopping Agent,Get out catered Amazon AI to shop for you,https://devpost.com/software/amazon-shopping-agent
Study Buddy,Get an A with AI!,https://devpost.com/software/tutor-bot-kdac4e
LaunchyDarkly-Amazon Match Maker,Using Bedrock model to provide a potential match for teammate in two variations. Using LaunchDarkly to evaluate which of the variation would be more effective.,https://devpost.com/software/launchydarkly-amazon-match-maker
ClearChoice,"Your Trusted AI for Honest Product Reviews: Get clear, unbiased reviews for any product with our AI. 10x Faster, Zero Effort.",https://devpost.com/software/clearchoice
Med Dojo,Revolutionizing Case Search for Precision Care,https://devpost.com/software/med-dojo
MyHoney,"Our honey uses generative AI for personalized marketing, matching you with the best honey for your needs. Enjoy the best honey with region-specific allergy, AI-based recommendations.",https://devpost.com/software/myhoney
AIProjectAssistant,"AI Assistant that helps Delivery Directory, Project Owners and Solution Architects to create templates from business requirement stories and check backlogs",https://devpost.com/software/aiarchitect
SightSense,"Seeing with sound. Our app narrates your world, weaving vivid descriptions from images using AI, empowering the visually impaired to experience life anew.",https://devpost.com/software/sightsense-vlt0h8
CulinaryAI: Smart Recipe Assistant,Recipe cooking app using Amazon Bedrock's generative AI for recipe suggestions and image generation,https://devpost.com/software/culinaryai-smart-recipe-assistant
Transcendence,Transcendence creates a smarter digital clone of you,https://devpost.com/software/transcendence-dh5lig
AI^2 Model Finder,"AI Model That Helps Developers Find the Best AI Model, Package, or Library",https://devpost.com/software/ai-2-model-finder
AI Apartment Concierge,"Are you tired of searching for apartments? Introducing AI Apartment Concierge, your companion to find a apartment in your budget!",https://devpost.com/software/ai-apartment-concierge
SecureOcto,"Plug-and-play AI template for LaunchDarkly and Amazon Bedrock APIs. Manage feature flags, generate content, and deploy models effortlessly.",https://devpost.com/software/secureocto
FOCI,"Upload raw footage & a prompt, and our AI-powered platform using AWS, OpenSearch, FastAPI, and Editly will create a polished video that brings your vision to life effortlessly.",https://devpost.com/software/foci-9gkdc7
WikiSearch,"With an intuitive interface and robust summarisation capabilities, this tool transforms complex information into digestible insights",https://devpost.com/software/wikisearch-ngspix
Hackathon Team Finder,An app to help people find their hackathon teams,https://devpost.com/software/hackathon-team-finder
