name,description,link
Pitch the Planet,"A solution designed to replicate your presentation and voice in a different language, paving the way for global entrepreneurs to overcome language barriers.",https://devpost.com/software/pitch-the-planet
Therapy for All: Leveraging Therapist CoPilot- 10X Therapist,"Leveraging AI to offer virtual character-guided therapy that monitors goals, strengths, weakness and aids in reframing. With AI oversight dashboard, human therapists can intervene. AI flags sessions.",https://devpost.com/software/therapist-copilot-increase-productivity-10x
Double AI,Easily create an AI of yourself that can voice chat with your fans. An influencer called Caryn.ai made $72k her first week by selling her fans access to her AI double. We can help you do the same!,https://devpost.com/software/double-ai
ironicall: AI push-notifications to boost Retention of Apps,"ironicall — an API for app developers which gives them funny GPT-generated push notifications, so they improve the worst part of their app: it's retention! Never send a boring push again!",https://devpost.com/software/ironicall-gpt-pushes-to-boost-retention-of-apps
Trivia On-Demand,Generates trivia questions based off of live Twitch stream content in real-time,https://devpost.com/software/live-trivia
Healthcare Multi-Modal Data Plumbers,Magically map and transform your data,https://devpost.com/software/healthcare-multi-modal-data-plumbers
Ansibly,Content Co-Pilot for the super fan.,https://devpost.com/software/ansibly
AI Quizmaster,Automatically build quizzes and evaluate quiz responses from any document.,https://devpost.com/software/ai-quizmaster
Thyme Health,Fully automated medical coding using LLMs,https://devpost.com/software/tyme-health
SlideGPT,Creating google slides by using prompts,https://devpost.com/software/slidegpt
DocuTok,Convert boring documents into visually engaging content feed,https://devpost.com/software/doctok
"Wolfgang, the Mozart Data AI Query Assistant","Ask Wolfgang a question colloquially, and he'll write the corresponding query into Mozart Data's SQL editor.",https://devpost.com/software/wolfgang-the-mozart-data-ai-query-assistant
Effortless Assessments: Automated Grading & Cheat Beating,"To save teachers time and stress, and accelerate students' learning, we're adding open-response question grading, feedback and 'cheat detection' to our AI-powered Quiz tool for teachers, Conker.ai.",https://devpost.com/software/effortless-assessments-automated-grading-cheat-beating
Massive,An AI Personal Recruiter that finds & automatically applies you to the world's coolest jobs.,https://devpost.com/software/massive-ribvz5
ForemanGPT: Co-Pilot for Predictive Maintenance,Say goodbye to the challenges of limited staff & data and improve your equipment maintenance. ForemanGPT automates in-depth investigations to uncover & resolve problems leading to factory downtime.,https://devpost.com/software/ai-agent-enhancement-of-industrial-defect-analysis-repair
Tailor,Copilot for online shopping. Use our AI browser extension to select visual features you like/dislike about a product. We link you to products that match those preferences from across the entire web.,https://devpost.com/software/tailor-i2ul1n
BirdsAI,Our tool extracts order-relevant data from email inboxes and turns B2B email chaos into a streamlined workflow. This empowers procurement teams to increase their productivity and reduce mistakes.,https://devpost.com/software/birdseye-q27ow8
Ask Away AI,Every company has competitors. What do you want to know about yours?,https://devpost.com/software/tbd-rgse0a
PersonalAgent,Personal Assistant Agent for Digital Nomads/ Founders. Explorative project to build the intersection of LLM Agents x Humans. The user is able to interact with the Agent's reflections to supplement it,https://devpost.com/software/personalagent
Tabularize,"Tabularize is a Chrome extension that automatically organizes your tabs. By understanding the content of your tabs through AI, Tabularize groups related tabs together, allows for easy navigation.",https://devpost.com/software/tabularize
Seeker,Pokemon Go for Curiosity 👀. Use your capture to capture your curiosity by asking a question and generating mini-projects on the go by engaging with the world around you.,https://devpost.com/software/seeker-yjri2q
Langchain Citation Extension,Citation generation library built on LangChain that can provide citations to in-prompt content and eliminate hallucinations for any LLM query.,https://devpost.com/software/langchain-citation-extension
DocsChat,If you refuse to RTFM… use DocsChat to interact with technical documentation.,https://devpost.com/software/devchats
Lankea,Chat GPT plugin that helps users find all new construction homes in a city.,https://devpost.com/software/lankea
Special Education Co-Pilot,We save K-12 Special Educators stress and burnout by using AI to assist them write complex special education documents in minutes instead of days.,https://devpost.com/software/special-education-co-pilot
ExpertAgents,"Have conversations with world class experts, powered by AI.",https://devpost.com/software/mentorai
Sensible CrossCheck,Catch Invoice Discrepancies Before They Catch You,https://devpost.com/software/contractcatcher
AccountantBot,"A chatbot you can text to help you navigate the complex world of taxes, ensuring you stay on top of your obligations, penalties, and fees. Text your questions to +1 (253) 352-4700!",https://devpost.com/software/roboaccountant
Voice for the Deaf,Revolutionizing communication for the hearing impaired via an Apple Watch app that decodes sign language gestures to speech. The decoder uses a SVM to classify gestures and a LLM to create sentences.,https://devpost.com/software/hand-sign-decoder
SnapShop,One stop shop for editing product photos and imposing them against aesthetically beautiful backdrops,https://devpost.com/software/snapshop-ihcqor
LLM Collaboration,"We all know that when people collaborate, we can achieve things that no single one of us could do on our own. Is the same true for LLMs?",https://devpost.com/software/llm-collaboration
StudyHUD,"Supercharge your learning with a study copilot that pulls up lecture slides, readings, searches Google for you, and has perfect memory about your courses, and integrates with your Canvas LMS.",https://devpost.com/software/studyhud-3so52g
AI Detection of Supplier Agreement Violations Cuts Costs 30%,"TLG, a cost reduction company, renegotiates contracts and audits invoices, saving clients millions. Our new internal tool identifies supplier invoice line items that violate their service agreement.",https://devpost.com/software/predicting-supplier-agreement-violations-for-opex-reduction
ChatWithWebsite,chat with any website as a chatgpt plugin,https://devpost.com/software/chatwithwebsite
CareerCraft,"A personal career coach that understands your career better than yourself, and bridges you to your next job.",https://devpost.com/software/careercraft
Review Buddy,"Say goodbye to manual pull request generation and code review hassles. Review Buddy automates the process for you. Tag @review-buddy, relax and watch the magic happen",https://devpost.com/software/review-buddy
Biographical Researcher,Use AI to perform background research on prominent personalities.,https://devpost.com/software/biographical-researcher
Commentsense.ai,"Boost your brand integrity. Use CommentSense! We provide swift, AI-generated responses tailored to your unique chat history, ensuring authentic engagement and preserving your brand's voice.",https://devpost.com/software/uncommon-sense-chatbot
Licce: The Campaign Starter,This project generates Political Flyers which need high volume and benefit from variation. It uses a few key words to create text for a flyer and a logo. It is designed around ease of use.,https://devpost.com/software/licce-the-campaign-starter
I didnt say that! - the Youtube fact checker,"Have you ever been quoted in the New York Times? Have you ever been misquoted and taken out of context? ""I didn't say that"" is a fact checker that parses youtube transcripts to verify statements",https://devpost.com/software/i-didnt-say-that-the-youtube-fact-checker
HumanAIze,Difficult conversations made easy,https://devpost.com/software/humanaize
Find Your People,"Helping people lead a happy life by taking the work out of finding the people they will love doing things with. Automated, personalized, no-lift social networking.",https://devpost.com/software/ripple-xjnasv
CRM.AI,Insights into your sales pipeline without the hassle of endless configuration and painstaking data entry.,https://devpost.com/software/crm-ai
HelpMeLearn,An app that will help you learn the topic you like through intelligent tests.,https://devpost.com/software/helpmelearn
Promptate,AI-First Content Publishing and Consumption Platform,https://devpost.com/software/promptate
AlphaTutor,"AlphaTutor transforms the way students learn by teaching through videos, games, and real-time feedback.",https://devpost.com/software/alphatutor
Me 2.0,"As a service-based knowledge worker create a digital clone w/ your expertise that people can get personalized advice from in real-time, available 24/7.",https://devpost.com/software/me-2-0-qubsnj
Deal Inspection - SalesCoachGPT,Help Sales Managers understand the quality of the deals across their team and identify which ones their reps should focus on advancing.,https://devpost.com/software/deal-inspection
Product Management AI Agent,"Product management AI agent that automatically searches across an enterprise's corpus of data for problem spaces, comes up with feature ideas, creates PRDs, then creates and assigns Linear tickets.",https://devpost.com/software/product-management-ai-agent
Dream,Build & deploy fully-functional web apps with English.✍️,https://devpost.com/software/dream-qogbe0
WhatMail,Understand and chat with any document in your language.,https://devpost.com/software/whatmail
Omar | Digital Consulting AI,"""Your tech consultant's best friend, empowering you with digital transformation strategy, software evaluation and implementation, and ongoing client support.""",https://devpost.com/software/omar-your-ai-digital-consultant
Optimist,Grammarly for prompt engineering,https://devpost.com/software/optimist-6c3tn7
Fashionista,"An AI-powered chatbot for online shopping that analyzes user preferences to curate personalized outfits from various retailers, streamlining the shopping experience.",https://devpost.com/software/fashionista-w34ho2
Smol Plugins,"OpenAI plugins are a great, but you still need to write them! Meet Smol Plugin, the first automated plugin generator.",https://devpost.com/software/smol-plugins
Wish Craft - Generative AI logo maker,Wish Craft: Transform your brand's vision into stunning logos with our AI-powered generator. Just enter your company's name and watch your brand logo come to life!,https://devpost.com/software/wish-craft-generative-ai-logo-maker
Beat Llama,Make any song from your favorite artist in minutes.,https://devpost.com/software/beat-llama
Discover Prequel,Discover Prequel allows kids to build a customized life skills curriculum tailored to their interests from Prequel's 300+ lessons.,https://devpost.com/software/discover-prequel
Free Agent,"An agent that runs entirely on your local machine, and in your browser. I was recently met with an enormous bill by OpenAI and decided enough is enough. Stay tuned for a demo.",https://devpost.com/software/locally-run-agent
RAI,"Maximize productivity, supercharge hiring",https://devpost.com/software/rai-x4dqgl
AI4ALL,"Global access to API gated AI Models & Langchain Chains w/Chatbot-UI. No chargebacks, No fraud, No processing fees, Cryptographically Perfect Privacy. Grow without exclusion. Get AI4ALL.",https://devpost.com/software/ai4all
Potluck Pal,Your AI-Powered Group Potluck Assistant.,https://devpost.com/software/potluck-pal-yl43d9
Foodwit,Fixing the $15B compliance inefficiency problem for the food industry with AI. We automate manual processes and safeguard the industry from human error.,https://devpost.com/software/foodwit-ai
JournalGPT,An interactive AI journal on Telegram,https://devpost.com/software/journalgpt
Paisa.ai,Generative AI Financial Co Pilot: Make more informed decisions while trading stocks,https://devpost.com/software/paisa-ai
FocusGroupies,Simulate the best persona to test your website & get critical insights,https://devpost.com/software/focusgroupies
jobGPT,chatgpt plugin to find jobs relevant to your conversation,https://devpost.com/software/jobgpt-5o8byh
arXivGPT,"Unlock Academic Discourse with AI: Harnessing the power of Anthropic's latest 100k context window model, our application enables you to interact with any arXiv paper on Twitter.",https://devpost.com/software/arxivgpt
Dial In: AI-powered interviews & insights.,"We've developed an AI agent to automate interviews. The agent conducts interviews on predefined topics, processes the conversation post-call, and generates insights across the entire interview corpus.",https://devpost.com/software/dial-in
Purr AI: Revolutionizing Veterinary Care with AI Technology,"Pioneering vet care automation with voice-to-text transcription (built before the hackathon), summarization, billing code generation, and predictive pricing, wrapped inside a beautiful and elegant UI",https://devpost.com/software/purr-ai-revolutionizing-veterinary-care-with-ai-technology
