name,description,link
Regularization Explainability Analysis,"Analyzing the effects of various types of regularization on explainability, as well as accuracy, via open-sourced models trained on CIFAR10.",https://devpost.com/software/regularization-explainability-analysis
Sketch to Image Generation,An implementation of image generation from sketch constraint using contextual GAN,https://devpost.com/software/hi-wvmz4p
Learning Linear Temporal Logic!,Grounding Non-Markovian Language to Linear Temporal Logic,https://devpost.com/software/learning-linear-temporal-logic
Analyzing Sentiment in IMDB Movie Reviews,"By using various deep learning methods (word-2-vec and bag of word models), we can use Natural Language Processing (NLP) to analyze the overall sentiment in a movie review on IMDB.",https://devpost.com/software/facial-restoration-with-gans
Free-Hand Sketch Recognition and Image Retrieval,An implementation of AI Draw-Guess Guru,https://devpost.com/software/draw_guess
The Reboot,A Deep Learning Sitcom Script Generator,https://devpost.com/software/the-reboot
Yip Yap Yelp,We will predict the number of stars associated with a given YELP written review,https://devpost.com/software/yip-yap-yelp
AmbianceNet,"We intend to create a system for matching text with emotionally resonant music. To do this, we will create a shared emotional embedding space to ""translate"" emotions from a text context into music.",https://devpost.com/software/ambiancenet
line2picture,Deep learning framework for transforming outlines of portraits to faces,https://devpost.com/software/line2picture
aging single cell,Deep learning for single-cell age prediction,https://devpost.com/software/aging-single-cell
RachmaninoffNN,Style-specific music generation with biaxial LSTM,https://devpost.com/software/rachmaninoffnn-style-specific-biaxial-lstm-music-generation
Dental Care Recommendations,The team wants to solve a new problem by applying the deep learning model to develop a recommender system for dental care.,https://devpost.com/software/dental-care-recommendations
DLNA,DNA Sequence Classification using DL,https://devpost.com/software/dlna
Deep Learning Final Project,Building a Model to Classify Periodic Time-Series Data(And using it to generate some cute animations),https://devpost.com/software/deep-learning-final-project-nz4hks
app-pinion,Neural Temporal Modeling for Opinion Prediction on Twitter,https://devpost.com/software/apppinion
Price Prediction for OldSchool Runescape,We are looking to apply deep learning models with the goal of forecasting in game item prices based on past market metrics.,https://devpost.com/software/will-david-emmanuel
Compositional Sketch Generator,No one knows sketching better than me!,https://devpost.com/software/sketch-rnn
fine art classification,Classifying pieces of fine art by genre.,https://devpost.com/software/fine-art-classification
