name,description,link
Phase 1,Phase 1,https://devpost.com/software/part-1
Wellness Sage,Wellness Sage: Your AI Path to Mental Clarity,https://devpost.com/software/applifi
Luke's Python DevPost Hackathon,"Luke's Python DevPost Hackathon, Stand up 'AI Copilot' using Langchain and Azure OpenAI.",https://devpost.com/software/luke-s-python-devpost-hackathon
GenStar,Unveil Your Generation and Star Sign with a Friendly AI Guide! Discover your generation & star sign by entering your name and birthdate for a personalized summary with fun facts from our friendly AI.,https://devpost.com/software/genstar
WebVeta,"Add advanced search for your website(s) seamlessly from content across your own website(s), blog(s), social media, videos, podcasts.",https://devpost.com/software/webveta
Cosmos BIM Connect,"Cosmos BIM Connect democratizes BIM data access with AI, enabling effortless querying in natural language for instant insights and enhanced collaboration.",https://devpost.com/software/cbc-cosmos-bim-connect
Meta-Store-AI,Meta Store AI combines 3D models with embedded animations and interactions with a backend helpful store clerk with the ability to execute the model actions and tell the customer about the products.,https://devpost.com/software/my-super-cool-first-hackathon
rahman_azure_cosmosdb_hackathon,Microsoft Azure Cosmos DB Hackathon project.,https://devpost.com/software/rahman_azure_cosmosdb_hackathon
LearnEase MCQ,"Smart Questions, Smarter Learning: Your AI assistant for MCQs",https://devpost.com/software/dse-economics-question-generator
Microsoft Developers AI Learning Hackathon - Phase 1,Submission of Phase 1 achievements,https://devpost.com/software/microsoft-developers-ai-learning-hackathon-phase-1
Identity and Access with Chat Assistant,An end to end integrated project offering login via a React frontend and a NodeJS backend in container apps. On successful login new users can interact with the Chatbot.,https://devpost.com/software/administrator-ai-helper
Phase 1 Completion,Phase 1,https://devpost.com/software/phase-1-completion
AI app using Azure Cosmos DB - Phase 1 Only,Hackathon to build an AI apps with Azure Cosmos DB,https://devpost.com/software/invoice-chat
