name,description,link
NFTY FLAKES,"A Tron original collection of unique digital pills (Flakes), items with hidden power stats and a foundation for metaverse and web3 lore and power boosted experiences. Power is for those who seek it!",https://devpost.com/software/nfty-flakes
SaveWallet,SaveWallet is a decentralized wallet connecting the DApps running on the TRON ecosystem. It ensures the user’s data security through local storage of the private key & multi-layer algorithm encryption,https://devpost.com/software/savewallet
Energy Emerge Forecast,"Leveraging data science to forecast energy consumption patterns, optimize renewable energy integration, and promote sustainable energy solutions.",https://devpost.com/software/energy-emerge-forecast
Greedy World,"Ecotool, 3rd Generation GameFi, Fighting More Earn, Tokens Battle Royale, you are both the hunter and the hunted. No Pledge, No Mining, No Ponzi.",https://devpost.com/software/greedy-world
Tron,"While Tron is now a separate coin, it was once an Ethereum-based ERC-20 token. The Tronix network works on a few principles, with the first being decentralization.was one of the first films to make.",https://devpost.com/software/tron-1b75ya
Naldi metaj,Bay and sale,https://devpost.com/software/naldi-metaj
New school,My project is all about the newest music sound currently in the world....,https://devpost.com/software/new-school-uajv86
ar_presentaion,"I have provided dashboard screen with home page. In page provide categories, products. click on every product display detail and click on AR button show preview of some static shapes on real camera",https://devpost.com/software/ar_presentaion
TimeWeave,Timeweave aims to revolutionize the protection of unregistered products by leveraging blockchain technology. And with Account Abstraction we are giving you the best user experience.,https://devpost.com/software/timeweave
WOOX - ICO Marketplace,"Empowering Innovation: WOOX ICO Marketplace on Tron Chain, Where Ideas Meet Investments for a Decentralized Future.",https://devpost.com/software/woox-ico-marketplace
OmniAuth,"An Identity Platform that provide a comprehensive identity management solution with Secure Authentication for identity verification, phone numbers, Generate unique IDs for users, serving as a secure",https://devpost.com/software/omniauth
EventChain,Decentralized Event Ticket selling platform.,https://devpost.com/software/eventchain
USTX - BOND,A bond emission - redemption mechanism for the USTX ecosystem to strenghten the project and provide a safety net for users.,https://devpost.com/software/ustx-bond
"""Neon Drift: Cloudpunk Chronicles"" XR/MR video-game","""Neon Drift: Cloudpunk Chronicles"" - Dive into a neon-soaked XR/MR odyssey. Navigate the cyberpunk city of Nivalis, where every choice drives your story in a world brimming with secrets.",https://devpost.com/software/neon-drift-cloudpunk-chronicles
Solide - Solidity Database,"Empowering developers with decentralized storage for smart contracts source, aiming to improve transparency and innovation in the Web3 ecosystem",https://devpost.com/software/solide-solidity-database
Enter The Library,"one world wide decentralized education program following the D-Label guidelines:Safe for children, adults and plants.",https://devpost.com/software/enter-the-library
