name,description,link
7VFI.AI,"We are an adaptive data infrastructure and AI-driven solutions hub providing a unified platform for real-time data processing across various Web3 niches: DeFi, CeFi, RWA, GameFi, Metaverse, and NFT.",https://devpost.com/software/7vfi-ai
.,.,https://devpost.com/software/resc-u-0bejcw
Test Project,Test Project Tagline,https://devpost.com/software/test-project-zjie0o
Decentralized AI-Powered Microfinance Platform,ChainGrowth: Empowering Microentrepreneurs with AI and Blockchain,https://devpost.com/software/decentralized-ai-powered-microfinance-platform
AI project,good...................................,https://devpost.com/software/ai-project-50wi1e
Oncare,personalised care for cancer patients using AI,https://devpost.com/software/pea
Reelin,"Reelin is an AI-powered business intelligence platform. Our product unifies diverse financial data sources, offering real-time insights and predictive analytics.",https://devpost.com/software/reelin-9pdu1y
Retina AI,Listen through eyes,https://devpost.com/software/retina-ai
Onion Trove,Empowering Investigations: Onion Trove - A Comprehensive Darkweb Monitoring Tool,https://devpost.com/software/onion-trove
Blocky : Ultimate Blockchain Security Suite,The rise of illegal activities in the realm of cryptocurrency has spurred the need for a tool that can unveil the identities behind wallet addresses involved in these transactions.,https://devpost.com/software/blocky-the-blockchain-visualizer-tool
Skin Cancer AI diagnosis,"This revolutionary AI will detect melanoma, a deadly skin cancer, in just seconds !!",https://devpost.com/software/melanoma-ai-diagnosis
Healthtech Revolution:Transforming Healthcare,"""Empowering Tomorrow's Health with Today's Tech""",https://devpost.com/software/healthtech-revolution-transforming-healthcare
EYE SEAKER,Our technology provides a seamless and intuitive way for the visually impaired to interact with the environment. In future we plan to offer our technology as a subscription-based service.,https://devpost.com/software/eye-seaker
Blockbrain,La infraestructura global edge-to-cloud descentralizada basada en blockchain para el despliegue de modelos de IA distribuida. Optimizamos los recursos y reducimos la huella de carbono.,https://devpost.com/software/blockbrain
Insulert,Smart Diabetes Diagnosis,https://devpost.com/software/insulert
Plant Disease Detector,AI FOR GOOD,https://devpost.com/software/plant-disease-detector-nq80pz
Smart City Crime Detector,For A Safer Future,https://devpost.com/software/smart-city-crime-detector-tnsk4x
AI EDUCATION TOOL,"Sending images, PDFs, and voice messages to get answers makes suitable study buddy",https://devpost.com/software/agrolink
JaguarPrime,"JaguarPrime.com: AI, blockchain, QuickNode-infused platform redefines trading education. Seamless, secure, and rewarding. Join the revolution!",https://devpost.com/software/jaguarprime
Collaborative Learning on the Internet Computer Protocol,"Empowering Federated Learning in Web3: Revolutionizing Ownership, Privacy, and Trust on ICP",https://devpost.com/software/x-5f1wnx
Truth-Chain,TruthChain: Decentralized AI Fact-Checking Platform,https://devpost.com/software/truth-chain
Personal-AI DAF Tool for Stutter,"A personal speech coach for stutterers that understands individual speech patterns in real time. It gets to the heart of each user's unique stuttering patterns, providing customized feedback.",https://devpost.com/software/personal-ai-daf-tool-for-stutter
Novice Finance,Financial Empowerment Through A.I.,https://devpost.com/software/novice-finance-c7wk8x
Life under Water,"Empowering Rescues, Saving Lives: Our Underwater Guardian""",https://devpost.com/software/life-under-water
DecentralAI,Secure DeFi Solutions on the Internet Computer Protocol (ICP),https://devpost.com/software/decentralai
FINPLAY,"Transforming Financial Learning, One Game at a Time.",https://devpost.com/software/finplay
AI-Powered Content Recommendation Engine,"AI-Powered Content Recommendation Engine will help user by providing changes in the way how a user consume online content, specially focusing on shorts and reels.",https://devpost.com/software/ai-powered-content-recommendation-engine
LifeAI - Personal life coach and Mentor,An AI that helps to manage your daily life routines and suggests how to get better at what you are passionate about(serves as life's coach and companion) - life's Nitro boost😎,https://devpost.com/software/lifeai
FINECIENT- Firms Valuation in Weak EFficient Markets.,"Let us take on the challenge of developing, and improving your understanding of emerging economies and their firms valuation to empower financial and investment decision making.",https://devpost.com/software/finecient-firms-valuation-in-weak-efficient-markets
UniNsight,UniNsight: Matching Minds with Campuses,https://devpost.com/software/uninsight
