name,description,link
Zusteller,Automate repetitive Emails using AI powered Templates,https://devpost.com/software/zusteller
Audit.ai,Audit.ai - Unleash the Power of AI for Bulletproof Smart Contracts,https://devpost.com/software/audit-ai-vugco3
Sanicle StateSync: Elevating Efficiency for Government Teams,"""Sanicle State Sync: Streamlining State Operations for Enhanced Productivity""",https://devpost.com/software/sanicle-statesync-elevating-efficiency-for-government-teams
Cincinnati AI,Cincinnati AI collaborates with leading technology organizations to promote the proactive integration of artificial intelligence solutions.,https://devpost.com/software/cincinnati-ai-qjunl0
eyeaquase,detection object for ai in water,https://devpost.com/software/eyeaquase
Clairvoyant Ai,"Your AI-powered real estate assistant. Analyze leads, automate tasks, and close deals faster with the power of Vertex AI",https://devpost.com/software/clairvoyant-ai
Barcelini,Empowering your wellbeing with health and wellness insights.,https://devpost.com/software/barcelini_bot
Jambo Travel Bot,"Meet JamboBot, your AI travel buddy! 😎 I'll search for flights, and confirm flight offer prices as well as answer any questions you have along the way. Let's explore the world together! ✈️🌎",https://devpost.com/software/kogo-sagent
CIBRA Agent - Cybersecurity for AI,I've developed a conversational agent that ensures AI systems are cybersecure by leveraging MITRE's ATLAS framework. It addresses specific cybersecurity queries effectively and efficiently.,https://devpost.com/software/cibra-agent-cybersecurity-for-ai
AgendaBuilder,An AI-powered app that listens to scheduling needs and constraints and crafts a weekly schedule.,https://devpost.com/software/agendabuilder
ChatWork,"Our AI agent transforms video call chats into LinkedIn-ready connection messages, simplifying and enhancing your networking efforts.",https://devpost.com/software/chatwork
After School,"After School is an AI that provides a verbose guide to understanding things that are not usually taught in school such as social skills, time management, sustainable living, maintaining health etc",https://devpost.com/software/skinai-ufobl8
LegalAId,AI legal advisor tailored to specific situations and circumstances,https://devpost.com/software/legalaid-2ytvzo
PythonGPT,"Introducing PythonGPT: Your Comprehensive Python Learning Solution! Fun, Easy Python Learning! Step-by-step tutorials, hands-on exercises, AI chatbot assistance. Start coding adventure today!",https://devpost.com/software/pythongpt
