name,description,link
Dokai,Learn once and for all. Dokai learns skills from user demonstration and can interactively guide others in the company through accomplishing related tasks.,https://devpost.com/software/dokai
AgentBloggy,Meet AgentBloggy: an AI agent that generates and publishes SEO-optimized blogs. Boost engagement and search rankings with automated research and seamless publishing. Perfect for top-of-funnel traffic!,https://devpost.com/software/agentbloggy
YAAGI - Yet Another Agent of General Intelligence,"Introducing YAAGI, AI agent to create AI agents. Just make a request and YAAGI will find or create the perfect AI agent for you, streamlining automation with a touch of magic!",https://devpost.com/software/yaagi-yet-another-agent-of-general-intelligence
"Flakebot: Yo Dawg, I Heard You Liked Agent Tools",An agent tool that builds (and deploys) its own agent tools,https://devpost.com/software/the-dpc-deterministic-program-crafter
Eve.ai - AI-Powered Eviction Defense,"Eve.ai helps tenants respond to eviction notices quickly. It creates and files eviction response forms automatically, so tenants can protect their rights without needing an expensive lawyer.",https://devpost.com/software/eve-ai-ai-powered-eviction-defense
CloudShieldAI,"LLM agents autonomously identify and exploit cloud security vulnerabilities in existing systems, offering dynamic analysis, attack path exploration, and comprehensive reports for robust protection.",https://devpost.com/software/cloudshieldai
Linsta AI,"LinkedIn marketing agent for professionals to 10X brand awareness, followers, and engagement. Take a picture at any event, and our agent automatically sends virtual posts on LinkedIn in real-time.",https://devpost.com/software/linsta-ai
Taskpuppy,Taskpuppy uses AI to turn the inconsistent mass web UIs across the internet into a consistent set of keyboard shortcuts & actions. Webpage context generates shortcuts and action automations.,https://devpost.com/software/taskpuppy
Amica,who needs executive assistants anymore?,https://devpost.com/software/amica-t87hzn
PostCrafter,Elevate Your Social Media Presence: PostCrafter - Where AI Meets Creativity.,https://devpost.com/software/postcrafter
Magency,Your mobile AI agency! Control your own team of general-purpose agents from an easy to use mobile app. Make a wish and Magents make it happen.,https://devpost.com/software/magency
Clueso.xyz,Our agents stay on top of trending Github repos and developers,https://devpost.com/software/clueso-xyz
ToothiOM,We use generative AI to automate daily repetitive tasks for Dental Office managers,https://devpost.com/software/toothiom
Action Genie,"Discover, create, and share AI workflows for everyday tasks. Streamline your life with the power of community-driven AI solutions, all in one easy-to-use platform.",https://devpost.com/software/action-genie
Merchant AI,"A fully autonomous, self-learning Publishing House for Coloring Books. Analyzes market, creates concepts, actions most likely products to succeed, produces books, publishes them & more, automatically",https://devpost.com/software/merchant-ai
The last Sales person you will ever need,What if you had AI agents just run sales end to end for your company.,https://devpost.com/software/the-last-sales-person-you-will-ever-need
jaimy.ai,your workplace wingman,https://devpost.com/software/jaimy-ai
MAgent - Autonomous Content Marketer,"Are you an indie hacker or early-stage startup founder struggling to keep your social media updated? MAgent auto-creates and schedules posts based on industry trends, keeping your presence relevant.",https://devpost.com/software/magent-autonomous-content-marketer
Derek,"Devin, but for site reliability engineering.",https://devpost.com/software/derek
SidekickPro,"Meet SidekickPro, your new GitHub project companion. SidekickPro automatically reviews, fixes, and updates your PR code, ensuring a seamless and efficient development process.",https://devpost.com/software/autoprfixer
Elysium,"Elysium empowers individuals to achieve their peak physical and mental health through personalized, data-driven insights and actionable health protocols.",https://devpost.com/software/elysium-735dg4
docuright,Writes docs that are right,https://devpost.com/software/docuright
SuperCare,"AI nurse supporting the treatment of chronic conditions over the phone, starting with diabetes. It monitors adherence, collects diagnostic data, schedules appointments, and educates patients.",https://devpost.com/software/supercare
Fumble,Application that invalidates source information through a feedback loop in a RAG implementation.,https://devpost.com/software/fumble-omyv3q
AutoSlides,Automate Your Presentations: Effortless Slide Creation and Data Extraction with Our Canva Extension,https://devpost.com/software/autoslides
Weave - AI-powered Content Consultant,"Weave, the AI-powered content creation tool, transforms rough ideas into polished, publishable content in minutes. Speak with Weave, and let it weave your thoughts into engaging content effortlessly",https://devpost.com/software/weave-ai-powered-content-consultant
End Of The Day Report Bot,"EOD Voice Bot: a Telegram bot using OpenAI API for daily reports. Team members submit voice updates, which are transcribed and summarized into EOD reports, enhancing productivity for large teams.",https://devpost.com/software/end-of-the-day-report-bot
HUGEai,"Send 30,000 cold emails every month and book hundreds of qualified meetings on Autopilot.",https://devpost.com/software/huge-ai
Lumina Journal Agents,Not just CEO's but everyone now can have a dozen of personal assistants around them.,https://devpost.com/software/lumina-journal-assistants
m1 - milo,"99% in the latent space, $0.99 AI wearable; a. multi-modal, multi-device embodied AI",https://devpost.com/software/milo-m1
debAIte,stonks go up and down but AI only go up,https://devpost.com/software/debaite
WhiteRock,The First Fully Autonomous VC Fund Operated By Swarms of AI Agents,https://devpost.com/software/whitestone-j0xldv
Astra,Astra is an autonomous promptless ai secretary that helps friends enjoy activities together without the hassle of tedious group coordination.,https://devpost.com/software/astra-pbr1q8
AI PM,"Meet AI PM, your expert AI Project Manager. It automates Jira issue creation from conversations and tracks sprint progress, revolutionizing your team's agile workflow and daily sprint meetings.",https://devpost.com/software/ai-pm
AssemBuddy,An agent that processes manual installation or assembly documents for any product and guides the user through each stage of the installation process.,https://devpost.com/software/assembuddy
